sido,sigungu,hotelname,,opendate,closedate,level2013,level2014,level2015,level2016,level2017,level2018,level2019,level2020,level_final,address,id_regist,level2013_old,group,capacity,phone,land,좌표정보_X_,좌표정보_Y_,level2014_old,level2015_old,level2016_old,level2017_old,level2018_old,level2019_old,firmname,level2020_old,level_assigned,floors,gfa,facility,openyear,결정등급
서울,종로구,목시 서울 인사동 호텔,3성,20191028,.,,,,,,,,,,서울특별시 종로구 돈화문로11길 37,457,,관광호텔업,140,02 7581700,5971.04,198988.9836,452223.0972,,,,,,-,우희명 외 2 명,미등급,기간만료,19층(3/16),5971.04,,2019,
서울,종로구,호텔DM(호텔디엠),2성,20201023,,,,,,,,,,,서울특별시 종로구 난계로29길 73,489,,관광호텔업,100,,498,201643.2779,452339.8431,,,,,,,주식회사 정원코리아,미등급,등급평가미신청,11층(2/9),2994.06,,2020,
서울,중구,신신호텔1,2성,20130321,20160722,,,,,,,,,,서울특별시 중구 북창동 93-37번지,637,,관광호텔업,30,02 7779331,937.34,198067.2766,451115.0552,,,,,,,,,,,,,2013,
서울,중구,호텔 파레스,,19871012,20180829,A50,A50,,,,,,,,서울특별시 중구 회현동1가 92-6번지,686,3등급,관광호텔업,52,02 7777731,1978,198164.2584,450703.5993,3등급,,미등급,,,,,,,,,,1987,
서울,중구,뉴오리엔탈관광호텔,,19660214,,A50,A50,,,,,,,,서울특별시 중구 회현동3가 10번지,962,3등급,관광호텔업,65,02 7530701,3146,198491.235,450895.8551,3등급,,미등급,,,,,,,,,,1966,
서울,용산구,에이원호텔,,20161208,,,,,,,,,,,이태원로20길 2-8,1345,,관광호텔업,21,02  795 5997,535.85,199190.6718,447977.2343,,,-,,,,,,,,,,2016,
서울,광진구,한강관광호텔,,19730409,20200121,A30,,A30,A30,A30,,,,,서울특별시 광진구 아차산로78길 147,1880,1등급,관광호텔업,111,204535131,3790.5,209602.114,449468.7096,,3성급,3성,3성급,,,,,,,,,1973,
서울,동대문구,동경호텔,,20141030,20191203,,,,,,,,,,서울특별시 동대문구 장안동 373-4번지,1958,,관광호텔업,60,267473390,3249.75,206023.5965,451871.0505,,,미등급,,,,,,,,,,2014,
서울,동대문구,경남관광호텔,,19850108,20201224,A30,A30,,A30,,,,,,서울특별시 동대문구 장안동 366-7번지,2014,1등급,관광호텔업,108,222472500,4183.38,206199.9532,451997.9348,1등급,,1등급,,,등급보류,,,,,,,1985,
서울,동대문구,디 에블린,,20030318,20210628,,,,,,,,,,장한로2길48,2051,,관광호텔업,101,222489100,2085,205893.996,451049.9602,,,,,,등급없음,장수진,미등급,,지하2~지상7층,6176.72,,2003,
서울,동대문구,동경호텔,,19900918,20130726,,,,,,,,,,서울특별시 동대문구 장안동 373-4번지,2070,,관광호텔업,60,222140231,3215.3,206023.5965,451871.0505,,,미등급,,,,,,,,,,1990,
서울,동대문구,K city HOTEL,,20030320,20190513,,,,A50,A50,A50,,,,서울특별시 동대문구 전농동 620-4번지,2086,,관광호텔업,38,02961 8988,3575.03,203871.4813,453032.6398,,,3등급,1성급,1성급,,,,,,,,2003,
서울,동대문구,부림관광호텔,,20000106,20160304,,,,,,,,,,서울특별시 동대문구  전농동 620-27번지,2144,,관광호텔업,44,02 9620021,2100,203897.923,453018.9137,,,,,,,,,,,,,2000,
서울,동대문구,BORJOMI BOUTIQUE SEOUL,,20140225,,,A50,A50,A50,,,,,,서울특별시 동대문구 청량리동 30-6번지,2169,,관광호텔업,36,222168886,1912,205852.2926,451534.5236,3등급,3등급,3등급,,,,,,,,,,2014,
서울,동대문구,라마다앙코르 동대문 호텔,3성,20160311,,,,,,,,,,,서울특별시 동대문구 왕산로 22 (신설동),2247,,관광호텔업,332,02 548 9433,,202233.6049,452654.5266,,,,,,,이동균,미등급,기간만료,지하6~지상20층,11589,,2016,
서울,중랑구,더홀릭 관광호텔,,20101224,20180718,,,,,A40,,,,,서울특별시 중랑구 상봉동 90-3번지,2312,,관광호텔업,69,,3172.81,207778.8118,454861.511,,,미등급,2성급,,,,,,,,,2010,
서울,중랑구,라코지스테이서울,,20190806,,,,,,,,,,,서울특별시 중랑구 망우로 232,2410,,관광호텔업,68,02  433 6888,4129.86,206859.5147,454661.8144,,,,,,,,,,,,,2019,
서울,성북구,홀리데이 인 서울 성북,,19900309,20180227,A20,A20,A20,A20,A20,,,,,서울특별시 성북구 종암로 123,2554,특2등급,관광호텔업,128,02 9292000,3712.88,202859.0624,455408.3488,특2등급,특2등급,특2등급,특2등급,,,,,,,,,1990,
서울,성북구,브라운 관광호텔,,19910413,20180903,A40,A40,A40,A50,A40,,,,,서울특별시 성북구 보문로 78,2720,2등급,관광호텔업,50,02 9266601,1563.9,201810.3889,453337.054,2등급,2등급,3등급,2등급,,,,,,,,,1991,
서울,강북구,아카데미하우스,,19661229,,A30,A30,,A30,A30,,,,,서울특별시 강북구 수유6동 산 76번지,3093,1등급,관광호텔업,52,02 9936181,4004.02,200020.5719,459790.3862,1등급,,1등급,1등급,,,(재)기장아카데미하우스,미등급,,지하1 ~ 지상3,6157,"식당, 예식장 등",1966,
서울,도봉구,소피아관광호텔,,19901027,20190517,A50,A50,A50,A50,A50,,,,,서울특별시 도봉구 도봉로 511,3161,3등급,관광호텔업,51,02 9008011,1727.6,203088.529,460968.2761,3등급,3등급,3등급,3등급,,,,,,,,,1990,
서울,은평구,포레스타호텔,,20191028,,,,,,,,,,,서울특별시 은평구 진흥로 179,3352,,관광호텔업,58,02 3866677,2189.49,193699.9287,456254.0584,,,,,,평가 중,임채복 외 1 명,미등급,,지하3~지상19층,2658,일반음식점,2019,
서울,은평구,라비야호텔,,20131121,,,,A40,,A40,,,,,서울특별시 은평구 진흥로 138,3363,,관광호텔업,30,02 3554521,1316.08,193355.2129,456178.5461,,2성급,-,2성급,,평가 중,김정희,미등급,,지하1~지상10층,1316,휴게음식점,2013,
서울,마포구,호텔야자,,19840126,,,,,,,,,,,서울특별시 마포구 잔다리로 67,3768,,관광호텔업,42,231434597,1532,192584.698,450151.42,,,미등급,,,평가중,,,,,,,1984,
서울,마포구,보보호텔,,19780315,,,,,,,,,,,서울시 마포구 양화로 94,3862,,관광호텔업,55,02 3240021,842,192702.3579,450008.9176,,,,,,,함영배,미등급,신규등록(평가중),지하1층~지상5층,2625.37,"레스토랑, 세미나실",1978,
서울,강서구,에어포트 관광호텔,,19960819,20200102,A40,A40,A40,A40,A40,,,,,서울특별시 강서구 공항대로 63,3953,2등급,관광호텔업,40,226621113,2570.63,183529.0052,451027.5904,2등급,2등급,2등급,2등급,,,,,,,,,1996,
서울,강서구,그린월드 관광호텔,,19941122,20160831,A30,A30,A30,,,,,,,서울특별시 강서구 공항대로 516,3954,1등급,관광호텔업,52,226531999,6305.83,187851.4158,449900.5103,1등급,1등급,,,,,,,,,,,1994,
서울,강서구,리버파크 관광호텔,,19990108,20200330,A30,A30,A30,A30,A30,,,,,서울특별시 강서구 공항대로 653-30,3972,1등급,관광호텔업,81,236653000,2545.14,189172.2502,449594.161,1등급,1등급,1등급,1등급,,등급보류,,,,,,,1999,
서울,강서구,뉴리젠트 관광호텔,,19950802,20160630,A40,,,,,,,,,서울특별시 강서구 화곡로 342,3988,2등급,관광호텔업,40,226052525,3443.1,186834.2345,450221.1853,,,,,,,,,,,,,1995,
서울,강서구,지엠빌 관광호텔(GM Ville),,20140627,20200831,,,,,A50,A50,,,,서울특별시 강서구 곰달래로 70-1,4064,,관광호텔업,51,070 46323500,1657.97,185841.6526,447544.3946,,,평가중,1성급,1성급,등급보류,㈜그린씨앤디,미등급,,지하1~지상13,1704,,2014,
서울,강서구,공원 관광호텔,,19990916,20171222,,,,,,,,,,서울특별시 강서구 화곡동 371-21외 1필지,4065,,관광호텔업,39,226021006,1142,185593.7726,448261.717,,,등급보류,,,,,,,,,,1999,
서울,강서구,호텔 노스탈자,,19970708,20180511,A30,A50,A50,A50,A50,,,,,서울특별시 강서구 화곡로 354-3,4135,1등급,관광호텔업,61,226910071,7307.4,186908.9208,450297.3931,3등급,3등급,3등급,3등급,,,,,,,,,1997,
서울,강서구,칼튼 관광호텔,,20021210,,,,,,,,,,,서울특별시 강서구 화곡로 354-10,4196,,관광호텔업,64,226049229,2544.85,186892.9474,450261.9914,,,등급없음,,,등급없음,정헌상,미등급,,지하3~지상8,6141,,2002,
서울,금천구,이사벨관광호텔,,20041027,,,,,,,,,,,서울특별시 금천구 가산로 50,4587,,관광호텔업,57,02 8686371,4564,190862.9687,441065.6659,,,미등급,,,등급없음,장기석,미등급,,지하3층~지상8층,4564,"로비, 식당",2004,
서울,영등포구,도도관광호텔,,20040323,20170828,A40,A50,A50,A50,,,,,,서울특별시 영등포구 버드나루로 23,4693,2등급,관광호텔업,55,226723535,4357.06,192165.9345,446508.0008,3등급,3등급,3등급,,,,,,,,,,2004,
서울,영등포구,R 호텔,,20090819,20180427,A40,A50,A50,A50,A50,,,,,서울특별시 영등포구 경인로108길 14,4803,2등급,관광호텔업,92,226757436,5489.99,192151.2202,446113.2819,3등급,3등급,3등급,3등급,,,,,,,,,2009,
서울,영등포구,노바루스 관광호텔(NOVALUZ HOTEL),,20141104,,,,A50,A50,A50,A50,,,,서울특별시 영등포구 선유로 88-6,4977,,관광호텔업,32,226715757,731.43,190268.7535,446608.4758,,1성급,1성,1성급,1성급,등급보류,이태근,미등급,,지하2층 지상7층,1140.11,,2014,
서울,영등포구,마루관광호텔,,20141218,,,,,,,A50,,,,서울특별시 영등포구 영등포로 9,5022,,관광호텔업,83,226208500,2330.52,189552.0218,446847.7044,,,미등급,,1성급,,한국자산운영주식회사,미등급,,지하1층~지상13층,2519,조식당,2014,
서울,서초구,호텔센트로,,19990204,20170929,A40,A40,,A40,,,,,,서울특별시 서초구 서초동 1594-3,5698,2등급,관광호텔업,94,234866000,2340,201170.07,442708.0036,2등급,,2등급,,,,,,,,,,1999,
