NO,등급 인정처,호텔업 구분,결정 등급,등급 결정일,지역,호텔명,객실수,주소,Latitude,Longitude,전화번호,홈페이지
24,한국관광협회중앙회,소형호텔업,2성,2021-12-13,강원도,하슬라 아트 월드 뮤지엄 호텔,23,강원도 강릉시 강동면 율곡로 1441 ,37.7056021,129.0080007,033-644-9411,https://museumhaslla.com/
83,한국관광협회중앙회,관광호텔업,4성,2021-07-14,강원도,쏠비치 호텔 삼척,217,강원도 삼척시 수로부인길 453 (갈천동),37.4718983,129.1592477,033-803-7955,https://www.sonohotelsresorts.com
89,한국관광협회중앙회,관광호텔업,3성,2021-07-07,강원도,뉴동해관광호텔,63,강원도 동해시 평릉길 1  (천곡동),37.5294637,129.1022016,033-533-9215,http://hotelnd.com
90,한국관광협회중앙회,관광호텔업,4성,2021-07-07,강원도,롯데 리조트 속초,392,강원도 속초시 대포항길 186 (대포동),38.1760108,128.6072118,033-634-1101,http://www.lotteresort.com/
101,한국관광협회중앙회,관광호텔업,3성,2021-06-17,강원도,동해현진관광호텔,82,강원도 동해시 동굴로 125-3 . (천곡동),37.5188593,129.1177179,033-539-2000,
112,한국관광협회중앙회,관광호텔업,4성,2021-06-08,강원도,쏠비치 양양,214,강원도 양양군 손양면 선사유적로 678  ,38.0879183,128.6657476,033-670-3622,https://www.sonohotelsresorts.com/sb/yy/
137,한국관광협회중앙회,관광호텔업,4성,2021-04-30,강원도,하이원 팰리스호텔 (구. 하이원호텔),197,강원도 정선군 고한읍 고한7길 399  ,37.1737167,128.8428065,033-590-7111,http://www.high1.com
189,한국관광공사,관광호텔업,3성,2020-10-15,강원도,시티호텔,49,강원도 원주시 건강로 4 (반곡동),37.3267206,127.9861676,033-747-1000,http://www.wonjucitihotel.com/kor/index.do
235,한국관광공사,관광호텔업,3성,2020-04-21,강원도,베니키아 호텔 비즈인,65,강원도 원주시 만대로 7-1,37.3411311,127.923792,033-748-0100,http://www.biz-inn.co.kr/
242,한국관광공사,관광호텔업,5성,2020-03-30,강원도,인터컨티넨탈 알펜시아 평창 리조트,238,강원도 평창군 대관령면 솔봉로 325,37.6616099,128.6763358,033-339-1225,https://www.alpensia.com/accomm/ic/convenience.do
243,한국관광공사,관광호텔업,5성,2020-03-30,강원도,홀리데이 인 리조트 알펜시아 평창,214,강원도 평창군 대관령면 솔봉로 325,37.6616099,128.6763358,033-339-0000,http://alpensia.com
246,한국관광공사,관광호텔업,3성,2020-03-24,강원도,오키드 호텔,85,강원도 원주시 봉화로 26 (단계동),37.346687,127.9289682,033-743-6700,http://www.orchidhotel.co.kr/
254,한국관광공사,관광호텔업,3성,2020-03-17,강원도,춘천세종관광호텔,63,강원도 춘천시 봉의산길 31,37.8863488,127.7312439,033-252-1191 ,http://www.chunchonsejong.co.kr
263,한국관광공사,관광호텔업,2성,2020-02-21,강원도,호텔 KCP,48,강원도 양구군 양구읍 파로호로 993-19,38.1138886,127.9806966,033-482-7700,
300,한국관광공사,관광호텔업,5성,2019-12-20,강원도,하이원 그랜드 호텔,727,강원도 정선군 사북읍 하이원길 265,37.2121937,128.8207554,033-590-6354,http://www.high1.com
311,한국관광공사,관광호텔업,3성,2019-12-12,강원도,한탄 리버 스파 호텔,68,강원도 철원군 동송읍 태봉로 1799-22,38.1861658,127.2898454,033-455-1234,http://www.hantanhotel.co.kr/
332,한국관광공사,관광호텔업,4성,2019-11-19,강원도,인제 스피디움 호텔 & 리조트,134,강원도 인제군 기린면 상하답로 130,38.0090727,128.3155273,033-480-9900,http://hc.speedium.co.kr/
367,한국관광공사,관광호텔업,4성,2019-09-20,강원도,호텔 탑스텐,333,강원도 강릉시 옥계면 헌화로 455-34  ,37.6532823,129.0514825,033-530-4800,http://hotel-topsten.co.kr
379,한국관광공사,관광호텔업,2성,2019-08-21,강원도,동해 글로리아 관광호텔 ,59,강원도 동해시 한섬로 112-4  (천곡동),37.5200942,129.1163291,033-532-5454,http://neweasternhotel@instagram
409,한국관광공사,관광호텔업,3성,2019-07-12,강원도,베니키아 프리미어 동해보양온천 컨벤션호텔,181,강원도 동해시 동해대로 6285  (망상동),37.5919095,129.0779634,033-530-0706,http://www.mangsanggrand.co.kr/
423,한국관광공사,관광호텔업,4성,2019-07-04,강원도,호텔 마레몬스,148,강원도 속초시 동해대로 3705  (대포동),38.1669427,128.6063413,033-630-7000,https://www.hotelmaremons.com
424,한국관광공사,관광호텔업,1성,2019-07-04,강원도,서림관광호텔,35,강원도 평창군 진부면 청송로 109  ,37.6366719,128.5587081,033-333-6657,
433,한국관광공사,관광호텔업,4성,2019-06-18,강원도,켄싱턴 호텔 설악,108,강원도 속초시 설악산로 998  (설악동),38.1727544,128.4992524,033-635-4001 ,http://www.kensington.co.kr/main.aspx
444,한국관광공사,관광호텔업,4성,2019-06-10,강원도,더파크호텔,79,강원도 홍천군 서면 한치골길 262  ,37.6466335,127.6813286,033-439-7981,http://www.daemyungresort.com/vp/
455,한국관광공사,관광호텔업,3성,2019-05-30,강원도,더 클래스 300 콘도,306,강원도 속초시 동해대로 3915  (조양동),38.1845116,128.6005798,033-630-9000,http://www.theclass300.com
462,한국관광공사,관광호텔업,2성,2019-05-23,강원도,베니키아 호텔 산과바다 대포항,63,강원도 속초시 동해대로 3691  (대포동),38.165663,128.6079706,033-635-6644,http://sannbada.kr/
