,id_regist,hotelname,결정 등급
0,24290,뉴스카이호텔,2성
1,24322,소설스미스호텔,1성
2,49824,사과나무관광호텔,1성
3,6937,페어필드바이메리어트부산송도비치호텔,3성
4,10237,호텔센트럴베이,3성
5,1837,호텔스타건대,1성
6,3607,호텔밀하우스,1성
7,463,오라카이대학로호텔,4성
8,18936,굿모닝관광호텔,3성
9,13817,호텔베이204,2성
10,13733,오크우드프리미어인천호텔,5성
11,13678,호텔스카이파크인천송도,3성
12,12905,관광호텔레이,1성
13,12821,다이아몬드호텔,1성
14,12941,시크릿관광호텔,2성
15,12841,호텔ORA,3성
16,38648,벨메르바이한화호텔앤드리조트,4성
17,38572,히든베이호텔,4성
18,35409,호텔오페라21,1성
19,51388,세종스파텔,1성
20,19710,자니비호텔,1성
21,19655,해시호텔,1성
22,22550,월드관광호텔,1성
23,49345,호텔갤러리,1성
24,46473,노마드호텔,2성
25,50043,리안호텔,2성
26,50079,여우비호텔,2성
27,45896,브룩스호텔,1성
28,12035,호텔인터불고대구,5성
29,10721,하운드호텔기장일광점,2성
30,6711,코모도호텔,4성
31,3550,신라스테이서대문,3성
32,456,글루호텔,2성
33,35943,호텔은파팰리스,3성
