id_regist,결정 등급
6504,1성급
6652,1성급
12865,1성급
13577,1성급
20034,1성급
36157,1성급
36158,1성급
41285,1성급
41971,1성급
43989,1성급
51416,1성급
53211,1성급
1564,2성급
6059,2성급
6088,2성급
9042,2성급
12946,2성급
13710,2성급
16842,2성급
22519,2성급
22585,2성급
22812,2성급
22874,2성급
24314,2성급
24495,2성급
25072,2성급
27029,2성급
31815,2성급
35181,2성급
40345,2성급
41978,2성급
46963,2성급
49811,2성급
51848,2성급
52315,2성급
53018,2성급
53062,2성급
53228,2성급
53327,2성급
638,3성급
756,3성급
2240,3성급
4038,3성급
4540,3성급
4599,3성급
6002,3성급
6016,3성급
6039,3성급
6091,3성급
6365,3성급
6806,3성급
8469,3성급
8813,3성급
9223,3성급
11178,3성급
12954,3성급
14005,3성급
15473,3성급
16634,3성급
17867,3성급
19297,3성급
19577,3성급
19931,3성급
20229,3성급
22023,3성급
22058,3성급
22374,3성급
22561,3성급
22569,3성급
22910,3성급
22977,3성급
26466,3성급
26592,3성급
27787,3성급
30525,3성급
30709,3성급
35222,3성급
35342,3성급
35384,3성급
35936,3성급
35959,3성급
36056,3성급
36133,3성급
36363,3성급
36461,3성급
38287,3성급
40691,3성급
41353,3성급
41412,3성급
41495,3성급
45006,3성급
45703,3성급
46987,3성급
51811,3성급
51920,3성급
52199,3성급
52212,3성급
52289,3성급
52402,3성급
52454,3성급
52455,3성급
52469,3성급
52535,3성급
52687,3성급
52688,3성급
52705,3성급
52852,3성급
52871,3성급
52881,3성급
53102,3성급
53174,3성급
53239,3성급
53267,3성급
53325,3성급
53365,3성급
53387,3성급
462,4성급
1083,4성급
5063,4성급
6112,4성급
7943,4성급
22296,4성급
26945,4성급
30379,4성급
36064,4성급
38613,4성급
44401,4성급
46283,4성급
50113,4성급
51855,4성급
52345,4성급
52625,4성급
52626,4성급
52775,4성급
52906,4성급
52984,4성급
53143,4성급
53156,4성급
53317,4성급
53364,4성급
12806,5성급
28947,5성급
52964,5성급
53101,5성급
53124,5성급
53257,5성급
53295,5성급
53479,5성급
